id,neighbourhood_group,cancellation_policy,room_type,construction_year,price_numeric,log_price,minimum_nights,number_of_reviews,availability_365,service_fee,reviews_per_month,GEOID_x,median_income,population,median_rent
1034474,Manhattan,strict,Entire home/apt,2019,256,5.545177444479562,30,21,96,51,0.3,10012,110490,23034,2293
1035026,Brooklyn,moderate,Private room,2012,294,5.683579767338681,2,42,96,59,0.38,11211,90871,104561,2040
1035579,Manhattan,moderate,Entire home/apt,2004,779,6.658011045870748,180,5,96,156,0.12,10001,96787,25026,2169
1036131,Manhattan,strict,Entire home/apt,2020,653,6.481577129276431,2,66,96,131,0.57,10075,123854,22591,2175
1036683,Brooklyn,flexible,Entire home/apt,2012,303,5.713732805509369,30,143,96,61,1.33,11238,100568,55102,2020
1037236,Brooklyn,flexible,Private room,2010,825,6.715383386334681,7,27,96,165,0.23,11205,62952,47866,1632
1037788,Manhattan,strict,Private room,2013,646,6.470799503782602,30,191,96,129,1.65,10036,97720,28231,2184
1038340,Brooklyn,flexible,Entire home/apt,2006,1037,6.9440872082295275,3,4,96,207,0.16,11215,144330,69995,2332
1038892,Manhattan,strict,Private room,2015,87,4.465908118654584,1,338,96,17,4.72,10009,68220,58267,1706
1039997,Manhattan,flexible,Private room,2017,735,6.5998704992128365,1,106,96,147,1.26,10009,68220,58267,1706
1040549,Manhattan,flexible,Entire home/apt,2017,524,6.261491684321042,4,190,96,105,1.64,10035,28408,36999,882
1041102,Manhattan,moderate,Entire home/apt,2019,238,5.472270673671475,9,49,96,48,0.43,10009,68220,58267,1706
1041654,Manhattan,moderate,Private room,2017,603,6.401917196727186,7,23,96,121,0.43,10019,101651,45521,2050
1042206,Unresolved_API,moderate,Private room,2011,571,6.3473892096560105,2,49,96,114,1.6,10032,53690,59527,1296
1042759,Unresolved_API,strict,Private room,2014,398,5.986452005284438,2,105,96,80,0.92,11238,100568,55102,2020
1043311,Unresolved_API,strict,Entire home/apt,2018,618,6.42648845745769,5,21,96,124,0.2,10003,129981,54671,2437
1043863,Unresolved_API,strict,Private room,2007,116,4.7535901911063645,1,142,96,23,1.5,10021,130968,42253,2363
1044415,Unresolved_API,flexible,Private room,2012,54,3.9889840465642745,30,25,96,11,0.22,11377,59910,82021,1529
1044968,Brooklyn,flexible,Private room,2013,744,6.612041034833092,3,143,96,149,1.28,11205,62952,47866,1632
1045520,Manhattan,strict,Private room,2011,1065,6.970730078143525,3,167,96,213,1.65,10011,136208,50228,2281
1046072,Brooklyn,moderate,Private room,2017,1057,6.963189985870238,3,61,96,211,0.54,11211,90871,104561,2040
1046625,Manhattan,flexible,Entire home/apt,2005,1056,6.962243464266207,31,54,96,211,0.49,10031,55721,60280,1503
1047177,Manhattan,moderate,Entire home/apt,2017,909,6.812345094177479,5,70,96,182,0.62,10002,35607,74363,979
1047729,Brooklyn,moderate,Entire home/apt,2017,586,6.373319789577012,6,16,96,117,0.15,11226,60896,96332,1458
1048282,Manhattan,strict,Private room,2013,575,6.354370040797351,30,94,96,115,0.84,10002,35607,74363,979
1048834,Brooklyn,strict,Entire home/apt,2013,292,5.676753802268282,1,25,96,58,0.24,11201,139697,64798,2690
1049938,Manhattan,flexible,Private room,2022,123,4.812184355372417,3,194,96,25,1.73,10009,68220,58267,1706
1050491,Manhattan,strict,Private room,2004,1079,6.983789965258135,1,2,96,216,0.05,10009,68220,58267,1706
1051043,Unresolved_API,moderate,Private room,2015,266,5.583496308781699,3,174,96,53,1.54,11211,90871,104561,2040
1051595,Unresolved_API,moderate,Private room,2012,728,6.590301048196686,4,24,96,146,0.28,11206,43065,87599,1199
1052148,Unresolved_API,flexible,Entire home/apt,2021,583,6.368187186350492,4,166,96,117,3.4,11217,122598,42461,2256
1052700,Brooklyn,moderate,Private room,2012,51,3.9318256327243257,7,16,96,10,0.2,11238,100568,55102,2020
1053252,Brooklyn,moderate,Entire home/apt,2018,588,6.376726947898627,7,21,96,118,0.3,11217,122598,42461,2256
1053805,Brooklyn,moderate,Entire home/apt,2010,360,5.886104031450156,5,168,82,72,1.57,11211,90871,104561,2040
1054357,Brooklyn,strict,Entire home/apt,2011,380,5.940171252720432,3,118,92,76,1.05,11237,57375,46772,1697
1054909,Manhattan,strict,Entire home/apt,2017,343,5.8377304471659395,3,0,55,69,0.71,10025,99067,92162,1621
1055461,Manhattan,flexible,Private room,2021,160,5.075173815233827,3,1,158,32,0.11,10031,55721,60280,1503
1056014,Manhattan,moderate,Private room,2022,528,6.269096283706261,3,30,64,106,0.27,10011,136208,50228,2281
1056566,Brooklyn,moderate,Entire home/apt,2009,739,6.6052979209482015,3,139,184,148,1.23,11233,48278,79796,1308
1057118,Manhattan,flexible,Private room,2013,913,6.816735880594968,3,11,201,183,0.87,10031,55721,60280,1503
1057671,Brooklyn,flexible,Entire home/apt,2006,507,6.2285110035911835,3,233,328,101,2.09,11231,108525,37796,1951
1058223,Manhattan,strict,Private room,2007,306,5.723585101952381,3,68,365,61,0.6,10032,53690,59527,1296
1058775,Manhattan,strict,Entire home/apt,2012,1078,6.982862751468942,3,46,96,216,0.55,10014,136154,29071,2464
1059328,Brooklyn,moderate,Private room,2004,887,6.787844982309579,3,335,61,177,3.02,11211,90871,104561,2040
1059880,Brooklyn,moderate,Entire home/apt,2008,243,5.493061443340548,30,88,267,49,0.79,11215,144330,69995,2332
1060432,Brooklyn,flexible,Entire home/apt,2016,500,6.214608098422191,90,162,189,100,1.46,11233,48278,79796,1308
1060984,Brooklyn,strict,Entire home/apt,2017,589,6.3784261836515865,30,29,83,118,0.4,11211,90871,104561,2040
1061537,Manhattan,flexible,Private room,2005,839,6.732210706467206,2,170,258,168,1.61,10027,57010,64728,1274
1062089,Brooklyn,strict,Entire home/apt,2011,528,6.269096283706261,30,19,365,106,0.2,11217,122598,42461,2256
1062641,Manhattan,strict,Private room,2014,66,4.189654742026425,2,334,34,13,3,10018,136360,8135,3287
1063194,Brooklyn,flexible,Private room,2014,761,6.634633357861686,2,19,203,152,0.2,11238,100568,55102,2020
1063746,Manhattan,flexible,Entire home/apt,2007,523,6.259581464064923,7,12,35,105,0.13,10009,68220,58267,1706
1064298,Brooklyn,strict,Entire home/apt,2004,631,6.447305862541213,30,467,280,126,4.22,11215,144330,69995,2332
1064851,Manhattan,flexible,Entire home/apt,2008,677,6.517671272912275,2,7,365,135,0.06,10009,68220,58267,1706
1065403,Manhattan,flexible,Entire home/apt,2008,574,6.352629396319567,5,38,162,115,0.38,10016,124647,52912,2760
1066507,Manhattan,strict,Entire home/apt,0,1154,7.050989447068045,6,27,237,231,0.27,10023,137347,62228,2413
1067060,Manhattan,strict,Entire home/apt,0,737,6.602587892189336,1,115,242,147,1.05,10009,68220,58267,1706
1067612,Brooklyn,moderate,Private room,0,456,6.1224928095143865,2,354,227,91,3.2,11215,144330,69995,2332
1068164,Manhattan,moderate,Entire home/apt,2005,291,5.673323267171493,2,195,173,58,2.03,10031,55721,60280,1503
1068717,Brooklyn,strict,Entire home/apt,2021,996,6.903747257584598,2,16,146,199,0.24,11215,144330,69995,2332
1069269,Manhattan,flexible,Entire home/apt,2008,788,6.669498089857879,7,13,243,158,0.12,10023,137347,62228,2413
1069821,Manhattan,flexible,Entire home/apt,2013,1105,7.007600613951853,4,25,365,221,0.23,10009,68220,58267,1706
1070374,Brooklyn,moderate,Private room,2015,1109,7.011213987350367,2,9,113,222,0.08,11225,65200,56072,1488
1071478,Manhattan,strict,Entire home/apt,2007,571,6.3473892096560105,5,21,365,114,0.19,10128,117926,57993,2271
1072030,Manhattan,flexible,Private room,2010,736,6.601230118728877,15,36,266,147,0.33,10040,53199,45197,1417
1072583,Brooklyn,moderate,Private room,2013,946,6.852242569051878,3,63,58,189,0.58,11216,77343,59567,1676
1073135,Manhattan,flexible,Entire home/apt,2005,449,6.1070228877422545,3,155,365,90,1.42,10027,57010,64728,1274
1073687,Brooklyn,moderate,Private room,2018,930,6.835184586147301,3,260,365,186,2.35,11238,100568,55102,2020
1074240,Manhattan,strict,Entire home/apt,2006,329,5.796057750765372,5,73,13,66,0.66,10003,129981,54671,2437
1074792,Brooklyn,flexible,Private room,2006,1125,7.025538314638521,3,193,62,225,1.86,11222,96435,36710,2129
1075344,Manhattan,moderate,Entire home/apt,2013,1099,7.002155954403621,3,32,62,220,0.29,10002,35607,74363,979
1075897,Manhattan,strict,Private room,2013,256,5.545177444479562,2,50,365,51,0.45,10019,101651,45521,2050
1076449,Manhattan,strict,Entire home/apt,2013,263,5.572154032177765,29,26,338,53,0.25,10014,136154,29071,2464
1077001,Brooklyn,moderate,Private room,2020,96,4.564348191467836,2,2,334,19,0.02,11234,84116,90372,1522
1077553,Brooklyn,strict,Private room,2021,1192,7.083387847625295,3,426,92,238,3.89,11238,100568,55102,2020
1078106,Brooklyn,flexible,Entire home/apt,2010,593,6.385194398997726,3,227,0,119,2.09,11233,48278,79796,1308
1078658,Brooklyn,flexible,Private room,2012,490,6.194405391104672,3,84,365,98,0.77,11238,100568,55102,2020
1079210,Brooklyn,moderate,Entire home/apt,2016,488,6.1903154058531475,3,0,325,98,0.03,11222,96435,36710,2129
1079763,Brooklyn,moderate,Entire home/apt,2004,658,6.489204931325317,3,10,0,132,0.1,11211,90871,104561,2040
1080315,Brooklyn,flexible,Entire home/apt,2017,1109,7.011213987350367,3,4,351,222,0.04,11201,139697,64798,2690
1080867,Queens,strict,Private room,2018,606,6.406879986069314,3,1,365,121,0.01,11367,64332,40141,1390
1081420,Brooklyn,moderate,Entire home/apt,2007,853,6.748759547491679,3,124,16,171,1.72,11233,48278,79796,1308
1081972,Brooklyn,strict,Entire home/apt,2011,172,5.147494476813453,3,11,325,34,0.11,11211,90871,104561,2040
1082524,Brooklyn,strict,Entire home/apt,2007,625,6.437751649736401,4,240,337,64,2.19,11211,90871,104561,2040
1083076,Unresolved_API,strict,Entire home/apt,2003,625,6.437751649736401,3,30,344,119,0.28,10009,68220,58267,1706
1083629,Brooklyn,moderate,Private room,2003,1133,7.0326242610280065,3,200,166,227,1.86,11211,90871,104561,2040
1084181,Brooklyn,strict,Private room,2014,162,5.087596335232384,8,27,18,32,1.05,11205,62952,47866,1632
1084733,Manhattan,moderate,Private room,2009,944,6.8501261661455,4,79,130,189,0.74,10014,136154,29071,2464
1085286,Brooklyn,moderate,Private room,2009,505,6.22455842927536,15,9,43,101,0.09,11238,100568,55102,2020
1086390,Brooklyn,flexible,Entire home/apt,2020,810,6.697034247666484,15,4,0,162,0.05,11238,100568,55102,2020
1086943,Manhattan,moderate,Private room,2022,370,5.91350300563827,2,34,365,74,0.32,10029,33801,74617,974
1087495,Manhattan,NA,Entire home/apt,2018,738,6.6039438246004725,45,134,365,148,1.24,10014,136154,29071,2464
1088599,Manhattan,NA,Entire home/apt,2004,464,6.139884552226255,4,126,280,93,1.16,10028,131013,47962,2373
1089152,Brooklyn,NA,Entire home/apt,2006,744,6.612041034833092,3,23,365,149,0.27,11217,122598,42461,2256
1089704,Manhattan,NA,Entire home/apt,2014,764,6.638567789166521,1,234,353,153,2.6,10028,131013,47962,2373
1090256,Unresolved_API,NA,Private room,2022,1020,6.927557906278317,4,202,365,204,1.86,11211,90871,104561,2040
1090809,Queens,NA,Private room,2018,355,5.872117789475416,30,28,365,71,0.26,11104,75772,25037,1686
1091361,Brooklyn,NA,Entire home/apt,2008,244,5.497168225293202,2,309,169,49,0.74,11216,77343,59567,1676
1091913,Brooklyn,strict,Private room,2016,385,5.953243334287785,47,14,190,77,0.74,11201,139697,64798,2690
1092466,Manhattan,flexible,Entire home/apt,2021,950,6.856461984594587,81,4,335,190,0.74,10022,138661,31574,2540
1093018,Brooklyn,strict,Entire home/apt,2021,374,5.924255797414532,144,80,52,75,0.74,11215,144330,69995,2332
1093570,Manhattan,flexible,Entire home/apt,2011,375,5.926926025970411,365,2,70,75,0.74,10031,55721,60280,1503
1094122,Unresolved_API,strict,Private room,2004,925,6.829793737512425,149,294,311,185,0.74,11238,100568,55102,2020
1094675,Brooklyn,moderate,Entire home/apt,2008,842,6.7357800142423265,273,150,141,168,1.4,11231,108525,37796,1951
1095227,Staten Island,strict,Private room,2003,1015,6.922643891475888,131,166,0,203,1.66,10301,70065,38001,1409
1095779,Brooklyn,moderate,Private room,2014,503,6.220590170099739,275,47,263,101,0.94,11237,57375,46772,1697
1096332,Bronx,flexible,Private room,2006,483,6.180016653652572,323,219,200,97,2.04,10452,31351,74379,1168
1097436,Manhattan,flexible,Private room,2020,185,5.220355825078324,99,84,144,37,0.78,10009,68220,58267,1706
1097989,Manhattan,strict,Entire home/apt,2022,387,5.958424693029782,268,114,320,77,1.06,10006,185268,3260,3371
1098541,Brooklyn,flexible,Private room,2008,1155,7.051855622955894,1,213,19,231,2,11205,62952,47866,1632
1099093,Manhattan,strict,Entire home/apt,2017,665,6.499787040655854,189,86,293,133,0.8,10014,136154,29071,2464
1099645,Manhattan,strict,Entire home/apt,2013,175,5.1647859739235145,30,80,58,35,0.75,10027,57010,64728,1274
1100198,Manhattan,strict,Entire home/apt,2012,408,6.0112671744041615,340,38,163,82,0.36,10014,136154,29071,2464
1100750,Manhattan,strict,Entire home/apt,2019,601,6.398594934535208,128,18,240,120,1.79,10039,41363,27090,981
1101302,Brooklyn,flexible,Private room,2011,107,4.672828834461906,350,206,96,21,1.92,11217,122598,42461,2256
1101855,Queens,flexible,Entire home/apt,2011,724,6.584791392385716,166,10,300,145,0.11,11385,77044,105025,1626
1102407,Manhattan,strict,Private room,2019,450,6.1092475827643655,110,122,365,90,1.18,10026,64716,38937,1278
1102959,Brooklyn,strict,Entire home/apt,2004,1153,7.050122520269059,57,33,365,231,0.58,11211,90871,104561,2040
1103512,Brooklyn,strict,Entire home/apt,2015,327,5.7899601708972535,142,52,83,65,0.5,11217,122598,42461,2256
1104064,Brooklyn,strict,Private room,2015,946,6.852242569051878,365,126,332,189,1.17,11216,77343,59567,1676
1104616,Brooklyn,strict,Private room,2017,498,6.210600077024653,3,51,271,100,0.48,11217,122598,42461,2256
1105168,Manhattan,flexible,Private room,2020,720,6.579251212010101,3,199,156,144,1.85,10021,130968,42253,2363
1105721,Brooklyn,flexible,Entire home/apt,2011,174,5.159055299214529,3,30,96,35,0.29,11216,77343,59567,1676
1106273,Manhattan,moderate,Entire home/apt,2021,323,5.777652323222656,3,3,96,65,0.03,10011,136208,50228,2281
1106825,Manhattan,moderate,Entire home/apt,0,539,6.289715570908998,3,41,96,108,0.38,10036,97720,28231,2184
1107378,Manhattan,strict,Entire home/apt,0,232,5.44673737166631,3,109,96,46,1.04,10002,35607,74363,979
1107930,Brooklyn,flexible,Entire home/apt,0,968,6.875232087276577,3,151,96,194,1.43,11215,144330,69995,2332
1108482,Manhattan,flexible,Private room,0,460,6.131226489483141,14,0,96,92,0.74,10075,123854,22591,2175
1109035,Manhattan,moderate,Private room,0,81,4.394449154672439,1,285,96,16,2.69,10002,35607,74363,979
1109587,Unresolved_API,flexible,Private room,0,267,5.58724865840025,1,375,96,53,3.52,10001,96787,25026,2169
1110139,Queens,moderate,Private room,0,1084,6.988413181999592,2,52,96,217,0.49,11434,65845,62590,1179
1110691,Manhattan,flexible,Entire home/apt,2013,402,5.996452088619021,5,10,96,80,1.01,10036,97720,28231,2184
1111244,Brooklyn,NA,Private room,0,457,6.124683390894205,2,11,96,91,0.48,11206,43065,87599,1199
1111796,Queens,NA,Entire home/apt,0,938,6.843749949006225,30,33,96,188,0.31,11379,89700,37780,1696
1112348,Queens,NA,Private room,0,405,6.003887067106539,7,6,365,81,0.06,11385,77044,105025,1626
1112901,Queens,NA,Entire home/apt,0,907,6.810142450115136,7,38,294,181,0.38,11379,89700,37780,1696
1114005,Manhattan,NA,Shared room,0,586,6.373319789577012,6,10,365,117,0.09,10019,101651,45521,2050
1114558,Manhattan,NA,Private room,0,112,4.718498871295094,30,0,12,22,0.74,10026,64716,38937,1278
1115110,Unresolved_API,strict,Private room,0,936,6.841615476477592,2,226,263,187,2.12,11217,122598,42461,2256
1115662,Manhattan,moderate,Entire home/apt,2022,749,6.618738983517219,1,104,15,150,1,10027,57010,64728,1274
1116214,Bronx,flexible,Private room,2007,538,6.2878585601617845,1,138,138,108,1.45,10452,31351,74379,1168
1116767,Manhattan,flexible,Private room,2007,252,5.529429087511423,5,204,327,50,1.92,10035,28408,36999,882
1117319,Brooklyn,moderate,Entire home/apt,2020,625,6.437751649736401,2,253,124,176,3.04,11211,90871,104561,2040
1117871,Brooklyn,strict,Private room,2019,625,6.437751649736401,2,23,137,152,0.22,11233,48278,79796,1308
1118424,Manhattan,flexible,Private room,2016,625,6.437751649736401,2,115,192,151,1.17,10003,129981,54671,2437
1118976,Manhattan,moderate,Entire home/apt,2006,625,6.437751649736401,5,129,81,48,0.74,10014,136154,29071,2464
1119528,Brooklyn,strict,Private room,2017,131,4.875197323201151,4,82,361,26,0.74,11211,90871,104561,2040
1120081,Brooklyn,strict,Private room,2005,444,6.095824562432225,3,37,341,89,0.35,11217,122598,42461,2256
1120633,Manhattan,strict,Entire home/apt,2010,1089,6.9930151229329605,1,204,353,218,2.04,10009,68220,58267,1706
1121185,Brooklyn,strict,Entire home/apt,2017,518,6.249975242259483,2,69,213,104,0.65,11222,96435,36710,2129
1121737,Manhattan,strict,Private room,2010,220,5.393627546352362,1,192,137,44,1.84,10027,57010,64728,1274
1122290,Queens,moderate,Entire home/apt,2016,1133,7.0326242610280065,2,17,336,227,0.16,11105,86516,37452,1877
1122842,Brooklyn,strict,Entire home/apt,2021,316,5.755742213586912,2,222,23,63,2.12,11201,139697,64798,2690
1123394,Manhattan,flexible,Entire home/apt,2015,396,5.981414211254481,3,205,19,79,1.96,10003,129981,54671,2437
1123947,Manhattan,flexible,Entire home/apt,2020,813,6.70073110954781,3,94,365,163,0.96,10019,101651,45521,2050
1124499,Manhattan,moderate,Entire home/apt,2017,111,4.709530201312334,3,7,365,22,0.07,10003,129981,54671,2437
1125051,Manhattan,strict,Entire home/apt,2020,908,6.811244378601294,2,108,78,182,1.09,10010,139188,34763,2502
1125604,Manhattan,moderate,Entire home/apt,2008,823,6.71295620067707,3,222,188,165,2.1,10027,57010,64728,1274
1126156,Manhattan,flexible,Private room,2011,186,5.225746673713202,1,458,338,37,4.58,10031,55721,60280,1503
1126708,Brooklyn,strict,Private room,2021,84,4.430816798843313,2,21,66,17,0.26,11215,144330,69995,2332
1127260,Manhattan,moderate,Private room,2018,241,5.484796933490655,7,17,322,48,0.3,10044,112658,12770,2772
1127813,Manhattan,strict,Entire home/apt,2017,54,3.9889840465642745,3,41,322,11,0.39,10002,35607,74363,979
1128365,Queens,strict,Entire home/apt,2020,656,6.486160788944089,14,1,80,131,0.01,11385,77044,105025,1626
1128917,Brooklyn,flexible,Entire home/apt,2018,509,6.2324480165505225,2,69,146,102,0.67,11222,96435,36710,2129
1129470,Manhattan,flexible,Entire home/apt,2016,1198,7.088408778675395,4,18,365,240,0.18,10002,35607,74363,979
1130022,Manhattan,flexible,Entire home/apt,2003,588,6.376726947898627,30,82,329,118,0.78,10022,138661,31574,2540
1130574,Manhattan,strict,Entire home/apt,2014,228,5.429345628954441,4,94,9,46,0.99,10013,130675,28657,1946
1131127,Manhattan,moderate,Entire home/apt,2011,874,6.773080375655535,5,10,256,175,0.1,10003,129981,54671,2437
1131679,Manhattan,flexible,Entire home/apt,2020,1052,6.9584483932976555,28,183,0,210,1.83,10029,33801,74617,974
1132231,Manhattan,moderate,Private room,2011,1127,7.027314514039777,1,189,83,225,1.82,10027,57010,64728,1274
1132783,Manhattan,flexible,Private room,0,137,4.919980925828125,2,1,173,27,0.11,10030,45555,30996,1073
1133336,Manhattan,flexible,Entire home/apt,0,138,4.927253685157205,2,127,365,28,1.22,10009,68220,58267,1706
1133888,Manhattan,moderate,Entire home/apt,0,597,6.391917113392602,4,4,201,119,0.04,10025,99067,92162,1621
1134440,Unresolved_API,flexible,Entire home/apt,0,252,5.529429087511423,3,135,109,50,1.3,10037,50686,19177,1260
1134993,Manhattan,flexible,Entire home/apt,0,959,6.8658910748834385,2,21,12,192,0.2,10013,130675,28657,1946
1135545,Manhattan,flexible,Entire home/apt,2006,595,6.38856140554563,2,35,0,119,0.34,10011,136208,50228,2281
1136097,Manhattan,moderate,Private room,2010,1076,6.98100574072173,14,10,319,215,2.21,10026,64716,38937,1278
1136650,Manhattan,strict,Private room,2008,956,6.862757913051401,4,171,50,191,1.8,10002,35607,74363,979
1137202,Manhattan,moderate,Entire home/apt,2015,81,4.394449154672439,200,92,118,16,0.9,10022,138661,31574,2540
1137754,Brooklyn,strict,Entire home/apt,2011,472,6.156978985585555,3,238,350,94,2.3,11226,60896,96332,1458
1138306,Manhattan,moderate,Entire home/apt,2018,1058,6.964135612418245,50,56,85,212,0.58,10003,129981,54671,2437
1138859,Unresolved_API,moderate,Entire home/apt,2022,1028,6.93537044601511,3,111,150,206,2.13,11221,65548,85582,1587
